projectclassification, environmentname
ERP009143activatedsludge, sludge
ERP009703Environmental Aquatic Marine, marine
ERP012927Lake, lake
ERP012927River, river
SRP056641GUT, gut1
ERP015450GUT, gut2
ERP013827GUT, gut3
ERP017354Environmental Aquatic Marine Hydrothermal vents, thermalvents
ERP017997Glacier, glacier
ERP021896feces, feces
ERP021896oralcavity, oralcavity
ERP021896skin, skin
MGYS00002437 seawater, seawater
SRP052295Environmental Terrestrial Soil, soil
SRP056641ORAL, oral
SRP056641VAGINAL, vaginal